"source_code","source_vocabulary","frequency","source_concept_class","source_name","validity","standard_code","standard_name","standard_vocabulary","mapping_resource"
"2244010","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2244432","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2245652","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2247203","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2247229","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2248094","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2248227","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2248367","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2248706","CNK",1,NA,"Celocurine 100 mg/2 ml inj. opl. i.v. amp.",NA,"M03AB01",NA,"ATC(Non-Standard)",NA
"2250314","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2251643","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2251668","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2251759","CNK",1,NA,"Water voor injecties Viaflo Baxter parent. oplosm. i.v.",NA,"V07AB",NA,"ATC(Non-Standard)",NA
"2252336","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2252419","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2252757","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2252906","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2253946","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2256311","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2257194","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2257269","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2257756","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2258770","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2258903","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2259786","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2259794","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2259844","CNK",1,NA,NA,NA,NA,NA,NA,NA
"226","ICD10",1,NA,NA,NA,NA,NA,NA,NA
"2260892","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2265221","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2265379","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2267185","CNK",1,NA,NA,NA,NA,NA,NA,NA
